time_s,stress_MPa,ox_red,NsChanges,x_Q_Qo__mA_h,Ewe_V,halfCycle,x_I__mA,cycleNumber
10,NaN,0,1,-0.00126876174685876,1.1506501,0,-0.456781647306574,0
20,NaN,0,0,-0.00254404596626944,1.1112392,0,-0.459102330585747,0
30,NaN,0,0,-0.00381932641217131,1.0864666,0,-0.459100972122544,0
40,NaN,0,0,-0.00509459549526888,1.0659308,0,-0.459096881512891,0
50,NaN,0,0,-0.00636987408132538,1.0481052,0,-0.459100302578188,0
60,NaN,0,0,-0.00764518588522589,1.0321308,0,-0.459112261002343,0
70,NaN,0,0,-0.0089204824962601,1.0178742,0,-0.459106791570328,0
80,NaN,0,0,-0.0101957778161368,1.0051825,0,-0.459106326753627,0
90,NaN,0,0,-0.0114710276787912,0.99359775,0,-0.459089962153151,0
100,NaN,0,0,-0.0127461856501733,0.98313904,0,-0.459056881294323,0
110,NaN,0,0,-0.0140213819784308,0.97348189,0,-0.459070689769809,0
120,NaN,0,0,-0.0152966335204361,0.96468359,0,-0.459090566719502,0
130,NaN,0,0,-0.0165718785096789,0.95620978,0,-0.459088207724958,0
140,NaN,0,0,-0.0178471890401427,0.94813675,0,-0.459111802565127,0
150,NaN,0,0,-0.019122489010301,0.94036901,0,-0.459108000855022,0
160,NaN,0,0,-0.0203977829480388,0.93290669,0,-0.459105829183576,0
170,NaN,0,0,-0.0216730678854387,0.92550164,0,-0.459102589061891,0
180,NaN,0,0,-0.0229483439743056,0.91826832,0,-0.459099403589919,0
190,NaN,0,0,-0.024223591283694,0.91113043,0,-0.459089042977384,0
200,NaN,0,0,-0.0254988152701508,0.90414524,0,-0.459080646721797,0
210,NaN,0,0,-0.0267740567053971,0.89729363,0,-0.459086928286192,0
220,NaN,0,0,-0.02804927576227,0.89048022,0,-0.459078872071537,0
230,NaN,0,0,-0.0293244758425305,0.88372403,0,-0.459072040490964,0
240,NaN,0,0,-0.0305997001934929,0.87729234,0,-0.459080777943811,0
250,NaN,0,0,-0.0318748994108455,0.87099421,0,-0.459071729844064,0
260,NaN,0,0,-0.0331500857271668,0.86486781,0,-0.459067085472676,0
270,NaN,0,0,-0.0344252826140341,0.8588751,0,-0.459070890869329,0
280,NaN,0,0,-0.0357005057418462,0.85295862,0,-0.459080337609718,0
290,NaN,0,0,-0.0369757516897536,0.84736669,0,-0.459088552844205,0
300,NaN,0,0,-0.0382509880397088,0.84187013,0,-0.459085097581337,0
310,NaN,0,0,-0.0395262128402061,0.83664078,0,-0.459080939776386,0
320,NaN,0,0,-0.0408014900859727,0.831545,0,-0.459099820073808,0
330,NaN,0,0,-0.0420767447296497,0.82664013,0,-0.459091683321355,0
340,NaN,0,0,-0.0433520130240553,0.82177335,0,-0.459096597583774,0
350,NaN,0,0,-0.0446272423538317,0.81707841,0,-0.459082570316917,0
360,NaN,0,0,-0.0459024295823508,0.81263155,0,-0.459067413863878,0
370,NaN,0,0,-0.0471775948496709,0.80814654,0,-0.45905950783207,0
380,NaN,0,0,-0.048452755717905,0.80396682,0,-0.459057924161056,0
390,NaN,0,0,-0.0497279474132905,0.79990166,0,-0.459069021935842,0
400,NaN,0,0,-0.0510031102898386,0.79591286,0,-0.459058647154091,0
410,NaN,0,0,-0.0522783014366809,0.79196221,0,-0.459068824460285,0
420,NaN,0,0,-0.0535534878344718,0.78814518,0,-0.459067114801738,0
430,NaN,0,0,-0.0548287482428137,0.78451896,0,-0.459093758600762,0
440,NaN,0,0,-0.0561039840408829,0.78091186,0,-0.459084898902362,0
450,NaN,0,0,-0.0573791753191418,0.7775147,0,-0.459068871770281,0
460,NaN,0,0,-0.0586543575580733,0.77407938,0,-0.459065617612298,0
470,NaN,0,0,-0.0599295667799198,0.77073944,0,-0.459075331461968,0
480,NaN,0,0,-0.0612047699544595,0.76760948,0,-0.459073154431469,0
490,NaN,0,0,-0.0624800015940368,0.76432681,0,-0.459083401845244,0
500,NaN,0,0,-0.063755233901663,0.76125407,0,-0.459083642342839,0
510,NaN,0,0,-0.0650304786687493,0.75818133,0,-0.459088127748636,0
520,NaN,0,0,-0.0663056941820631,0.75541401,0,-0.459077596390247,0
530,NaN,0,0,-0.0675809384890745,0.75237942,0,-0.459087962121629,0
540,NaN,0,0,-0.0688561225314074,0.74963117,0,-0.459066266836834,0
550,NaN,0,0,-0.0701313327363746,0.74695921,0,-0.459075685385417,0
560,NaN,0,0,-0.0714065422339588,0.74430639,0,-0.459075430727546,0
570,NaN,0,0,-0.0726817810873902,0.74172986,0,-0.459085998832796,0
580,NaN,0,0,-0.0739570300657766,0.73924881,0,-0.459089643816656,0
590,NaN,0,0,-0.0752322517361343,0.73674864,0,-0.45907981292611,0
600,NaN,0,0,-0.076507509095937,0.73426753,0,-0.459092661126636,0
610,NaN,0,0,-0.0777827658787734,0.73190099,0,-0.459092453418749,0
620,NaN,0,0,-0.0790580050897979,0.72962981,0,-0.459086127566315,0
630,NaN,0,0,-0.0803332392715812,0.72745413,0,-0.459084317039421,0
640,NaN,0,0,-0.0816084479735792,0.72524023,0,-0.459075144316492,0
650,NaN,0,0,-0.0828837170782834,0.72300726,0,-0.459096889291297,0
660,NaN,0,0,-0.0841589974529329,0.72086972,0,-0.459100946471685,0
670,NaN,0,0,-0.0854342532351779,0.71877033,0,-0.459092093205818,0
680,NaN,0,0,-0.0867095251615114,0.71680456,0,-0.459097905077851,0
690,NaN,0,0,-0.0879848112338003,0.71466702,0,-0.459102997621939,0
700,NaN,0,0,-0.0892600603677498,0.71291119,0,-0.459089699819394,0
710,NaN,0,0,-0.090535331223016,0.7109645,0,-0.459097519493606,0
720,NaN,0,0,-0.0918106158207307,0.70917046,0,-0.459102466775211,0
