times,stress 3 C: 2,stress 4 C: 2,stress 5 C: 2,stress 10 C: 2,stress 11 C: 0.12,stress 8 C: 2,stress 9 C: 2,stress 12 C: 1,stress 13 C: 1,stress 20 C: 1,stress 21 C: 0.1,stress 16 C: 0.1,stress 17 C: 1,stress 18 C: 1,stress 19 C: 1,stress 22 C: 1,stress 23 C: 1,stress 24 C: 1,stress 25 C: 0.1,stress 26 C: 2,stress 40 C: 1,stress 44 C: 1,stress 30 C: 0.1,stress 32 C: 1,stress 35 C: 0.1,stress 37 C: 2,stress 38 C: 2,stress 39 C: 2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NaN,NaN,NaN,NaN,-0.0293658320249953,NaN,NaN,-0.00666475609669627,0.0185661951762929,0.0281613685924256,0.0116777367348153,0.0197843828327402,-0.0119446202964022,-0.0131914460003017,-0.00908867943128452,-0.0129384619720212,0.00816678975420521,0.0271287584887732,-0.00569981042383216,NaN,-0.004555039851868,-0.0236792950293658,0.0241654030320311,0.00593159453329484,0.0120024348416959,NaN,NaN,NaN
20,-0.0204515604314523,-0.0121257525029595,0.000984362444345965,-0.0177047496859437,-0.0103681752995053,-0.0436510460754981,-0.00518314849209656,0.0343132757374692,0.0105351450086125,-0.00129653844914884,0.0228182752904874,0.0194978395708909,-0.0356462297116709,-0.0189828305566298,-0.019951302453439,-0.00992326501267649,0.00974995911991794,0.0230882518112875,-0.00431110930338985,0.0116908849419972,0.0380482819427699,-0.0750612364857368,0.0466383187472091,0.0113843438831295,0.0329287457292289,0.00471895416806778,-0.0251982260114189,-0.0118893602599321
30,NaN,NaN,NaN,NaN,0.00952030376780899,NaN,NaN,0.000883658447225162,0.0159118789377831,-0.0112933082010228,0.0262024985980688,0.0339017255827862,-0.0530201454607158,-0.0232124334975944,-0.00838466180825914,-0.0299523672863257,0.0161626528150467,0.035671962631441,0.00746567725886194,NaN,0.000387058175228772,-0.0915040087242667,0.0533531707654784,-0.0219288303798919,0.0513463786864692,NaN,NaN,NaN
40,-0.0355960536486446,-0.0114629075515663,-0.0225240058916561,-0.0196069822126022,0.0264429229579652,-0.0768364948973245,-0.0152654442011627,-0.0113916948579332,-0.00304684031129572,0.0158774243739156,0.0387392515354301,0.0779949020384518,-0.0209290532278879,-0.0211115628656738,0.000936765934347883,-0.0319666726265815,0.0405398045932156,0.028324368795174,0.00491580161273303,0.00661242122327182,0.00345459752125921,-0.0529196555915408,0.0638648493547968,0.00480861241894592,0.0132183309534629,-0.000189709846480701,-0.031641223193576,0.0156501231769972
50,NaN,NaN,NaN,NaN,0.0457325951039127,NaN,NaN,0.014398750697833,0.014059955208433,-0.0142465207550818,0.0392020684282303,0.0757234302878215,-0.0170984169812284,-0.0501470868820576,-0.0151520816110515,-0.0359920275605529,0.0497168775430682,0.0200838238597298,0.0258094298138425,NaN,-0.0150126229602097,-0.0417875068442606,0.0493076552471615,-0.0210993663382498,0.0101070894711804,NaN,NaN,NaN
60,-0.0467059756647362,-0.0422173906085959,-0.0680168027407761,0.00413805385267285,0.0245358068114964,-0.0851457861731766,-0.0211266645207795,-0.00207906589557227,-0.0175518297753681,-0.020280546083374,NaN,0.0559354110366379,-0.0358423258302113,-0.0686451117346383,-0.00780939643879904,-0.0180042783676479,0.0385216174013156,0.00621309138800658,0.0416970972672579,-0.0413486071664291,0.00920336936421617,-0.0276212527634985,0.0392676842431186,-0.0274759963793942,-0.00867443577244464,5.30937128103703e-05,-0.011723818070462,-0.0230728496257316
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0180042783676479,0.0385216174013156,0.00621309138800658,0.0416970972672579,-0.0413486071664291,0.00920336936421617,-0.0276212527634985,0.0392676842431186,-0.0274759963793942,-0.00867443577244464,5.30937128103703e-05,-0.011723818070462,-0.0230728496257316
70,NaN,NaN,NaN,NaN,0.0506417600025443,NaN,NaN,0.00224771607077824,0.00209542351751667,-0.0128762271246939,0.0318323104712854,0.0299177812403865,-0.0319929189525369,-0.0365359375864099,-0.0299752451668221,-0.0168255728990523,0.0321497457589608,0.018809324310238,0.0296267926322995,NaN,-0.0423880668599181,-0.0158905475368933,0.0369231710710679,-0.0344868708907857,0.0243055253542831,NaN,NaN,NaN
80,-0.0438630452636775,-0.0329853456306212,-0.0533277508982603,-0.0429026000343001,0.0401289544240387,-0.101649415827805,-0.048353971952906,-0.00326795684199802,-0.0181336191600108,-0.0139148102710374,0.0349273984418874,0.0026387950929843,-0.0441215264947701,-0.0525429782389342,-0.0406786371389536,-0.0265134223926637,0.00282223136632387,0.0153984289252306,0.0256749424375255,-0.0372819292956004,-0.0375549111208995,-0.0340300646069831,0.0152397738919033,-0.0119552265168621,-0.0175181703649826,-0.0411721707481512,-0.0568195390626909,-0.041243671951016
