cycle_number,max_stress,start_stress,stress_change,chgcap_start_mAhg,chgcap_end_mAhg,dischgcap_end_mAhg,dischgcap_start_mAhg,charge_current,c_rate
1,-3.74469831294752,-1.18781873907379,-2.55687957387373,277.869503743465,298.078714868833,234.72470642852,242.889187159513,-0.301043447659731,0.08
2,-3.64552497382731,-1.20938905647426,-2.43613591735305,260.955024109635,261.583073519562,238.740164606633,247.076757441277,-0.301011417692603,0.08
3,-1.55095267041502,-1.28550480853886,-0.265447861876153,44.7205221925431,45.2558677370459,39.2861977780307,44.5451282592059,-6.0007139910029,1.63
4,-1.43585448797464,-1.17022472510239,-0.26562976287225,42.0102715258806,248.553813548799,231.873249147206,240.559081381145,-6.00069723833073,1.63
5,-4.24175914278554,-1.30882085204576,-2.93293829073978,247.813063615467,261.182433737425,239.806276853744,247.273544962423,-0.300889723049721,0.08
6,-1.63664178029938,-1.57251251869341,-0.0641292616059745,50.136224695871,246.153259580691,232.401198547873,240.834172282725,-6.0009066223045,1.63
7,-1.72773884605692,-1.67439408883105,-0.0533447572258696,48.78814964344,244.759922959114,231.605964649821,239.822650349974,-6.00091542014455,1.63
8,-1.70518050526038,-1.70244806439815,-0.00273244086223245,18.5713347900901,244.345410850639,231.758408341277,239.88092991463,-12.000174546816,3.25
9,-1.91469577379713,-1.90659267330913,-0.00810310048799967,18.9707773962918,243.670237814948,231.593232367408,239.566083312382,-12.0003424143194,3.25
10,-4.61743181077499,-1.95005130769317,-2.66738050308181,245.128701742514,255.614741818046,238.745953940533,239.925552090926,-0.301068911103924,0.08
