times,stress 1 C: 0.1,stress 5 C: 0.24,stress 6 C: 0.4,stress 10 C: 0.1,stress 11 C: 0.1,stress 12 C: 0.24
0,0,0,0,0,0,0
10,-0.0915973681603486,-0.0984313056424592,-0.100298321132695,-0.0296809671508869,-0.0516399906939133,-0.0446147725189192
20,-0.101268635920232,-0.216949982230002,NaN,-0.0588657637772023,-0.11391924538139,-0.0597230490643987
20,NaN,NaN,NaN,NaN,-0.11391924538139,-0.0597230490643987
30,-0.166454777501076,-0.298093570705036,NaN,-0.100566114102732,-0.159678803865293,-0.118750531972857
40,-0.2022967218782,-0.314752380139799,-0.231789306528519,-0.142729305741193,NaN,-0.161040954254009
40,NaN,NaN,NaN,NaN,NaN,NaN
50,-0.269404364964829,-0.339926078600194,-0.266589901424432,-0.100401786598391,-0.247430270821757,-0.176192703684235
60,-0.429538185023799,-0.331109777573655,-0.309319486787291,-0.209348603422505,-0.279182865840419,-0.168495104891833
70,-0.38364530969334,-0.365149046329968,-0.318737539484488,-0.207610847309582,-0.295517077735743,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN
80,-0.443568334027572,-0.37950379287318,-0.314046264563828,-0.224647001383942,-0.328452135219502,-0.210017506209134
90,-0.429529490446849,-0.423176652889263,NaN,-0.242469724852978,-0.351118897326197,-0.231409063696606
100,-0.596387116679906,-0.448828553081867,-0.329072261429444,-0.259326191003721,-0.392673178758978,-0.269395670387879
110,-0.433584061497516,NaN,NaN,-0.275549402133326,-0.428419482789661,-0.282652002043169
110,NaN,NaN,NaN,NaN,-0.428419482789661,-0.282652002043169
110,NaN,NaN,NaN,NaN,-0.428419482789661,-0.282652002043169
120,-0.354440225720809,-0.52921281517,-0.378881985711693,-0.278662350500389,-0.421255151383479,-0.330060631955113
120,-0.354440225720809,-0.508858810531805,-0.378881985711693,-0.278662350500389,-0.421255151383479,-0.330060631955113
120,-0.354440225720809,-0.52921281517,-0.378881985711693,-0.278662350500389,-0.421255151383479,-0.319232985460979
120,-0.354440225720809,-0.508858810531805,-0.378881985711693,-0.278662350500389,-0.421255151383479,-0.319232985460979
130,-1.31019159686712,-0.54741056472478,-0.435591610333174,-0.302612432164793,-0.428717996598253,-0.33189808588372
140,-0.976771960017277,-0.566970464668276,-0.478980244628786,-0.3018174580124,-0.450894964203473,-0.340867991103031
150,-0.895944274504733,-0.581278840134425,NaN,-0.345212961023802,-0.454961128023406,-0.340676710410146
160,-0.804196200343929,-0.605872900131537,-0.505927346967596,-0.354793225544949,-0.451031179242345,-0.380089227721098
170,-0.758659802668391,-0.621737604871602,-0.52369196457888,-0.369891068598089,-0.481007182371042,-0.357622440884235
180,-0.619366883556774,-0.640674393467065,-0.571945704472099,-0.383677769447284,-0.492394179982242,-0.368502254840063
190,-0.564530186737854,-0.644711575363837,-0.561769707825736,-0.40934242168608,-0.502952294590949,-0.389511250941768
200,-0.52628564093042,-0.67404417979829,-0.642588823383601,-0.421267033971977,-0.506896734333592,-0.39385274303176
210,-0.464730934322046,-0.698687509064781,NaN,-0.447069929984266,-0.498138397153382,NaN
210,NaN,NaN,NaN,NaN,NaN,NaN
220,-0.441783047560659,-0.789360353876193,-0.60663929810769,-0.456091133207575,-0.506189575408386,-0.434010095768029
230,-0.493889647217514,-0.781309175621187,-0.632433325651491,-0.441468014055864,-0.493869359871299,-0.413134416512881
240,-0.455207474370301,-0.811795260597573,NaN,-0.446511738144124,-0.498109415230217,-0.45158473397478
240,NaN,NaN,NaN,NaN,-0.498109415230217,-0.45158473397478
250,-0.416006525098449,-0.824816838675233,-0.645686208457924,-0.467943870324025,-0.511467183616582,-0.414105310938879
260,-0.397921805044009,-0.849216719787145,-0.644145355530978,-0.449114025025034,-0.533513732567563,-0.444446486299446
270,-0.442481511908915,-0.853433589607531,NaN,-0.469547440132698,-0.546851213607713,-0.478610377325365
280,-0.462873193047223,-0.865452393143713,-0.683622009837891,-0.461474815254551,-0.562678241847663,-0.478094499093042
290,-0.561837766075902,-0.917982128878763,-0.713797930272575,-0.473490720598415,-0.568984708328186,-0.482346147221226
300,-0.508067604029424,-0.896190620851628,-0.726896281464697,-0.476887691812487,-0.58366115421852,-0.470072302761202
310,-0.56351292123479,-0.916573607412986,-0.727378134919224,-0.478639649067761,-0.592071708320762,-0.476468613203533
320,-0.691378268042778,-0.919576134652794,-0.748895705808614,-0.504368930995212,-0.59432940013525,-0.47781337443835
330,-0.784529067284725,-0.940674974716306,NaN,-0.503794799097331,-0.577053275737091,-0.491689919249354
340,-0.78421896070687,-0.962199849050332,-0.77925858862963,-0.518140851063593,-0.56932959321384,-0.500842410584597
350,-0.784105931206529,-0.968248376414695,-0.745509457906112,-0.515598556763633,-0.553690947474455,-0.522396266841789
360,-1.76318195411536,-0.998606940929158,-0.794064467788815,NaN,-0.563254982118631,-0.552702663894557
360,-1.76318195411536,-0.983791381807638,-0.794064467788815,NaN,-0.563254982118631,-0.552702663894557
360,NaN,NaN,NaN,NaN,-0.563254982118631,-0.552702663894557
360,-1.76318195411536,-0.998606940929158,-0.794064467788815,NaN,-0.563254982118631,-0.545338357218543
360,-1.76318195411536,-0.983791381807638,-0.794064467788815,NaN,-0.563254982118631,-0.545338357218543
360,NaN,NaN,NaN,NaN,-0.563254982118631,-0.545338357218543
360,NaN,NaN,NaN,NaN,NaN,NaN
370,-1.78343742021479,-1.01412386259125,NaN,-0.481237588660197,-0.585834798455833,-0.569888944330908
370,NaN,NaN,NaN,NaN,-0.585834798455833,-0.569888944330908
380,-1.45280584437335,-1.027530900247,-0.783286960021756,-0.489637419450867,-0.577004006467712,-0.583545226525863
390,-3.54890430915241,-1.02180986861439,NaN,-0.511121429273232,-0.59962729568966,-0.589132941311915
400,NaN,-1.03456771119126,-0.808562616887843,-0.529689277986818,-0.622447661989125,-0.609872405528193
410,NaN,-1.04288842133169,-0.828428247138798,-0.541404640787469,-0.617500447705001,-0.606968416827143
420,NaN,NaN,-0.809227143404074,-0.598763344560135,-0.660150245833389,-0.618978525786374
420,NaN,NaN,NaN,NaN,-0.660150245833389,-0.618978525786374
430,NaN,-1.0624859977753,-0.826929302072747,-0.591549164246111,-0.671493770559844,-0.638857226884676
440,NaN,-1.05698812695106,-0.836158508558606,-0.605783925627423,-0.673270362449808,-0.667384133855165
450,NaN,-1.07409905438718,NaN,-0.647966824973636,-0.710022339214286,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN
460,NaN,-1.08180244956422,-0.825425632953221,-0.653614822159868,-0.703512999271615,-0.677162634730755
470,NaN,-1.07824346939966,-0.830362384763082,NaN,-0.707193703513464,-0.736813228987243
470,NaN,NaN,NaN,NaN,-0.707193703513464,-0.736813228987243
470,NaN,NaN,NaN,NaN,NaN,NaN
480,NaN,-1.09233448044207,-0.806753217460858,-0.703746013933854,-0.719496529896653,-0.746948207517752
490,NaN,-1.10205211927902,-0.831400836051977,-0.701106920010525,-0.723136659446073,-0.814928206491621
500,NaN,-1.11508818831826,-0.840970203370014,-0.711434628330077,-0.741876370964022,-0.828346836916631
510,NaN,-1.12112802110567,NaN,-0.696677322874115,-0.77904278922975,-0.882224232078816
520,NaN,-1.12944873124611,-0.828190073694235,-0.731953250291843,-0.821141930818019,NaN
530,NaN,-1.13003706428634,-0.866602685674098,-0.752906890920304,-0.842585655767186,NaN
